v2	Id(M1)
1.000000000000000e-01	-2.243403e-07
1.050000000000000e-01	-2.108248e-07
1.100000000000000e-01	-1.967894e-07
1.150000000000000e-01	-1.821336e-07
1.200000000000000e-01	-1.667463e-07
1.250000000000000e-01	-1.505042e-07
1.300000000000000e-01	-1.332707e-07
1.350000000000000e-01	-1.148948e-07
1.400000000000000e-01	-9.520913e-08
1.450000000000000e-01	-7.402828e-08
1.500000000000000e-01	-5.114716e-08
1.550000000000001e-01	-2.633877e-08
1.600000000000001e-01	6.480255e-10
1.650000000000001e-01	3.009096e-08
1.700000000000001e-01	6.229712e-08
1.750000000000001e-01	9.760584e-08
1.800000000000001e-01	1.363920e-07
1.850000000000001e-01	1.790694e-07
1.900000000000001e-01	2.260948e-07
1.950000000000001e-01	2.779713e-07
2.000000000000001e-01	3.352533e-07
2.050000000000001e-01	3.985507e-07
2.100000000000001e-01	4.685332e-07
2.150000000000001e-01	5.459357e-07
2.200000000000001e-01	6.315627e-07
2.250000000000001e-01	7.262929e-07
2.300000000000001e-01	8.310843e-07
2.350000000000001e-01	9.469786e-07
2.400000000000001e-01	1.075104e-06
2.450000000000001e-01	1.216681e-06
2.500000000000001e-01	1.373023e-06
2.550000000000001e-01	1.545538e-06
2.600000000000001e-01	1.735731e-06
2.650000000000001e-01	1.945203e-06
2.700000000000001e-01	2.175650e-06
2.750000000000001e-01	2.428857e-06
2.800000000000001e-01	2.706698e-06
2.850000000000001e-01	3.011127e-06
2.900000000000001e-01	3.344169e-06
2.950000000000002e-01	3.707915e-06
3.000000000000002e-01	4.104508e-06
3.050000000000002e-01	4.536132e-06
3.100000000000002e-01	5.004998e-06
3.150000000000002e-01	5.513331e-06
3.200000000000002e-01	6.063355e-06
3.250000000000002e-01	6.657274e-06
3.300000000000002e-01	7.297092e-06
3.350000000000002e-01	7.984795e-06
3.400000000000002e-01	8.722384e-06
3.450000000000002e-01	9.511781e-06
3.500000000000002e-01	1.035481e-05
3.550000000000002e-01	1.125320e-05
3.600000000000002e-01	1.220855e-05
3.650000000000002e-01	1.322236e-05
3.700000000000002e-01	1.429596e-05
3.750000000000002e-01	1.543058e-05
3.800000000000002e-01	1.662731e-05
3.850000000000002e-01	1.788707e-05
3.900000000000002e-01	1.921066e-05
3.950000000000002e-01	2.059875e-05
4.000000000000002e-01	2.205186e-05
4.050000000000002e-01	2.357037e-05
4.100000000000003e-01	2.515455e-05
4.150000000000003e-01	2.680454e-05
4.200000000000003e-01	2.852036e-05
4.250000000000003e-01	3.030193e-05
4.300000000000003e-01	3.214907e-05
4.350000000000003e-01	3.406149e-05
4.400000000000003e-01	3.603884e-05
4.450000000000003e-01	3.808069e-05
4.500000000000003e-01	4.018650e-05
4.550000000000003e-01	4.235574e-05
4.600000000000003e-01	4.458776e-05
4.650000000000003e-01	4.688189e-05
4.700000000000003e-01	4.923744e-05
