v1	Id(M1)
0.000000000000000e+000	-6.763856e-008
1.000000000000000e-002	-6.359716e-008
2.000000000000000e-002	-5.973555e-008
3.000000000000000e-002	-5.603050e-008
4.000000000000000e-002	-5.245601e-008
5.000000000000000e-002	-4.898236e-008
6.000000000000001e-002	-4.557497e-008
7.000000000000001e-002	-4.219291e-008
8.000000000000000e-002	-3.878712e-008
9.000000000000000e-002	-3.529831e-008
9.999999999999999e-002	-3.165427e-008
1.100000000000000e-001	-2.776673e-008
1.200000000000000e-001	-2.352753e-008
1.300000000000000e-001	-1.880399e-008
1.400000000000000e-001	-1.343334e-008
1.500000000000000e-001	-7.216017e-009
1.600000000000000e-001	9.250183e-011
1.700000000000000e-001	8.791454e-009
1.800000000000000e-001	1.924657e-008
1.900000000000000e-001	3.190403e-008
2.000000000000000e-001	4.730682e-008
2.100000000000001e-001	6.611327e-008
2.200000000000001e-001	8.911757e-008
2.300000000000001e-001	1.172712e-007
2.400000000000001e-001	1.517038e-007
2.500000000000001e-001	1.937420e-007
2.600000000000001e-001	2.449225e-007
2.700000000000001e-001	3.069983e-007
2.800000000000001e-001	3.819334e-007
2.900000000000001e-001	4.718860e-007
3.000000000000001e-001	5.791769e-007
3.100000000000001e-001	7.062450e-007
3.200000000000001e-001	8.555909e-007
3.300000000000001e-001	1.029686e-006
3.400000000000001e-001	1.230813e-006
3.500000000000001e-001	1.461172e-006
3.600000000000002e-001	1.722763e-006
3.700000000000002e-001	2.017330e-006
3.800000000000002e-001	2.346324e-006
3.900000000000002e-001	2.710884e-006
4.000000000000002e-001	3.111833e-006
4.100000000000002e-001	3.549690e-006
4.200000000000002e-001	4.024682e-006
4.300000000000002e-001	4.536781e-006
4.400000000000002e-001	5.085727e-006
4.500000000000002e-001	5.671075e-006
4.600000000000002e-001	6.292217e-006
4.700000000000003e-001	6.948425e-006
4.800000000000003e-001	7.638879e-006
4.900000000000003e-001	8.362694e-006
5.000000000000002e-001	9.118943e-006
5.100000000000002e-001	9.906676e-006
5.200000000000002e-001	1.072494e-005
5.300000000000003e-001	1.157278e-005
5.400000000000003e-001	1.244927e-005
5.500000000000003e-001	1.335348e-005
5.600000000000003e-001	1.428454e-005
5.700000000000003e-001	1.524159e-005
5.800000000000003e-001	1.622380e-005
5.900000000000003e-001	1.723038e-005
6.000000000000003e-001	1.826056e-005
6.100000000000003e-001	1.931361e-005
6.200000000000003e-001	2.038882e-005
6.300000000000003e-001	2.148553e-005
6.400000000000004e-001	2.260307e-005
6.500000000000004e-001	2.374083e-005
6.600000000000004e-001	2.489820e-005
6.700000000000004e-001	2.607459e-005
6.800000000000004e-001	2.726945e-005
6.900000000000004e-001	2.848224e-005
7.000000000000004e-001	2.971242e-005
7.100000000000004e-001	3.095948e-005
7.200000000000004e-001	3.222293e-005
7.300000000000004e-001	3.350229e-005
7.400000000000004e-001	3.479707e-005
7.500000000000004e-001	3.610683e-005
7.600000000000005e-001	3.743112e-005
7.700000000000005e-001	3.876950e-005
7.800000000000005e-001	4.012155e-005
7.900000000000005e-001	4.148684e-005
8.000000000000005e-001	4.286497e-005
8.100000000000005e-001	4.425554e-005
8.200000000000005e-001	4.565816e-005
8.300000000000005e-001	4.707244e-005
8.400000000000005e-001	4.849802e-005
8.500000000000005e-001	4.993452e-005
8.600000000000005e-001	5.138158e-005
8.700000000000006e-001	5.283886e-005
8.800000000000006e-001	5.430599e-005
8.900000000000006e-001	5.578265e-005
9.000000000000006e-001	5.726850e-005
9.100000000000006e-001	5.876322e-005
9.200000000000006e-001	6.026648e-005
9.300000000000006e-001	6.177797e-005
9.400000000000006e-001	6.329739e-005
9.500000000000006e-001	6.482443e-005
9.600000000000006e-001	6.635879e-005
9.700000000000006e-001	6.790019e-005
9.800000000000007e-001	6.944834e-005
9.900000000000007e-001	7.100296e-005
1.000000000000001e+000	7.256378e-005
1.010000000000001e+000	7.413053e-005
1.020000000000001e+000	7.570294e-005
1.030000000000001e+000	7.728077e-005
1.040000000000001e+000	7.886374e-005
1.050000000000001e+000	8.045162e-005
1.060000000000001e+000	8.204416e-005
1.070000000000001e+000	8.364113e-005
1.080000000000001e+000	8.524228e-005
1.090000000000001e+000	8.684739e-005
1.100000000000001e+000	8.845623e-005
1.110000000000001e+000	9.006858e-005
1.120000000000001e+000	9.168423e-005
1.130000000000001e+000	9.330294e-005
1.140000000000001e+000	9.492453e-005
1.150000000000001e+000	9.654877e-005
1.160000000000001e+000	9.817548e-005
1.170000000000001e+000	9.980444e-005
1.180000000000001e+000	1.014355e-004
1.190000000000001e+000	1.030684e-004
1.200000000000000e+000	1.047030e-004
